No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,tfjschrome_tfjsmsedge_max_diff,tfjschrome_tfjsmsedge_mean_diff,tfjsmsedge_torch_max_diff,tfjsmsedge_torch_mean_diff,tfjsmsedge_tf_max_diff,tfjsmsedge_tf_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,6
11,1.7881393e-07,2.6024265e-08,1.6391277313232422e-07,3.2541758325047944e-08,2.384185791015625e-07,4.0070993371180653e-08,0.0,0.0,1.6391277313232422e-07,3.2541758325047944e-08,2.384185791015625e-07,4.0070993371180653e-08,1.6391277313232422e-07,2.8541628133629366e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:13  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:10  from:4 to:5 operator:19  from:5 to:6 operator:19  ,9
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,9
14,0.0,0.0,4.76837158203125e-07,7.000656936455656e-08,4.76837158203125e-07,7.000656936455656e-08,0.0,0.0,4.76837158203125e-07,7.000656936455656e-08,4.76837158203125e-07,7.000656936455656e-08,3.178914388020833e-07,4.6671046243037704e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:4  from:2 to:3 operator:5  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,10
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,10
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:4  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,10
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,11
20,5.9604645e-08,4.052978e-09,1.1920928955078125e-07,9.201122102914033e-09,1.1920928955078125e-07,1.0184184820563705e-08,0.0,0.0,1.1920928955078125e-07,9.201122102914033e-09,1.1920928955078125e-07,1.0184184820563705e-08,8.940696716308594e-08,7.137265300034337e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:13  from:1 to:2 operator:19  from:2 to:3 operator:12  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,12
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,12
23,5.9604645e-08,4.2081982e-09,1.1920928955078125e-07,9.166628674224572e-09,1.1920928955078125e-07,1.0460132250079402e-08,0.0,0.0,1.1920928955078125e-07,9.166628674224572e-09,1.1920928955078125e-07,1.0460132250079402e-08,8.940696716308594e-08,7.24362001382189e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:13  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,13
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,15
27,5.9604645e-08,4.2168216e-09,1.1920928955078125e-07,9.063148388156184e-09,1.1920928955078125e-07,1.0244548320770264e-08,0.0,0.0,1.1920928955078125e-07,9.063148388156184e-09,1.1920928955078125e-07,1.0244548320770264e-08,8.940696716308594e-08,7.138702496075526e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:13  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,15
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:11  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,22
42,0.0,0.0,4.76837158203125e-07,7.017472482941769e-08,4.76837158203125e-07,7.017472482941769e-08,0.0,0.0,4.76837158203125e-07,7.017472482941769e-08,4.76837158203125e-07,7.017472482941769e-08,3.178914388020833e-07,4.678314988627846e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:4  from:2 to:3 operator:5  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,28
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,28
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:4  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,32
49,5.9604645e-08,4.4065356e-09,1.1920928955078125e-07,9.07177174532855e-09,1.1920928955078125e-07,9.770263676290159e-09,0.0,0.0,1.1920928955078125e-07,9.07177174532855e-09,1.1920928955078125e-07,9.770263676290159e-09,8.940696716308594e-08,7.015101070684534e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:13  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,32
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,32
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,32
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,34
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,34
60,0.0,0.0,1.1920928955078125e-07,1.5642948862174915e-08,1.1920928955078125e-07,1.5642948862174915e-08,0.0,0.0,1.1920928955078125e-07,1.5642948862174915e-08,1.1920928955078125e-07,1.5642948862174915e-08,7.947285970052083e-08,1.0428632574783277e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:5  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,38
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,38
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,39
65,5.9604645e-08,4.1823283e-09,1.1920928955078125e-07,9.192498745741667e-09,1.1920928955078125e-07,1.0132444677529512e-08,0.0,0.0,1.1920928955078125e-07,9.192498745741667e-09,1.1920928955078125e-07,1.0132444677529512e-08,8.940696716308594e-08,7.138702518005857e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:13  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,40
66,5.9604645e-08,4.1823283e-09,1.1920928955078125e-07,9.373589246361344e-09,1.1920928955078125e-07,1.0244548320770264e-08,0.0,0.0,1.1920928955078125e-07,9.373589246361344e-09,1.1920928955078125e-07,1.0244548320770264e-08,8.940696716308594e-08,7.2364338992926675e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:13  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,40
69,2.3841858e-07,2.7727268e-08,1.1920928955078125e-07,2.7976893887979614e-08,2.384185791015625e-07,3.862575470992413e-08,0.0,0.0,1.1920928955078125e-07,2.7976893887979614e-08,2.384185791015625e-07,3.862575470992413e-08,1.5894571940104166e-07,2.6822094131473953e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:10  from:4 to:5 operator:19  from:5 to:6 operator:19  ,42
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,47
78,1.1920929e-07,3.4191854e-09,1.7881393432617188e-07,1.6513172919598285e-08,1.7881393432617188e-07,1.6687217599500974e-08,0.0,0.0,1.7881393432617188e-07,1.6513172919598285e-08,1.7881393432617188e-07,1.6687217599500974e-08,1.3907750447591147e-07,1.163666106957842e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:13  from:1 to:2 operator:5  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,49
83,1.7881393e-07,3.8016394e-09,1.1920928955078125e-07,1.6219580082313905e-08,1.7881393432617188e-07,1.655748052245245e-08,0.0,0.0,1.1920928955078125e-07,1.6219580082313905e-08,1.7881393432617188e-07,1.655748052245245e-08,1.2914339701334635e-07,1.1559293442869946e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:13  from:1 to:2 operator:5  from:2 to:3 operator:12  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,53
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,55
87,5.9604645e-08,4.3116784e-11,1.1920928955078125e-07,7.761021455128987e-11,1.1920928955078125e-07,8.623357172365541e-11,0.0,0.0,1.1920928955078125e-07,7.761021455128987e-11,1.1920928955078125e-07,8.623357172365541e-11,8.940696716308594e-08,6.180072616637332e-11,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:4  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:13  from:4 to:5 operator:19  from:5 to:6 operator:19  ,55
88,5.9604645e-08,8.623357e-11,5.960464477539063e-08,6.898685737892433e-11,1.1920928955078125e-07,5.174014303419325e-11,0.0,0.0,5.960464477539063e-08,6.898685737892433e-11,1.1920928955078125e-07,5.174014303419325e-11,6.953875223795573e-08,5.461459495382231e-11,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:13  from:2 to:3 operator:4  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,55
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,56
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,56
94,5.9604645e-08,4.320302e-09,1.1920928955078125e-07,8.675097315399735e-09,1.1920928955078125e-07,9.822003819324352e-09,0.0,0.0,1.1920928955078125e-07,8.675097315399735e-09,1.1920928955078125e-07,9.822003819324352e-09,8.940696716308594e-08,6.8857506939100105e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:13  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,58
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,58
96,5.9604645e-08,3.8546406e-09,1.1920928955078125e-07,8.821694387329949e-09,1.1920928955078125e-07,9.692653461738868e-09,0.0,0.0,1.1920928955078125e-07,8.821694387329949e-09,1.1920928955078125e-07,9.692653461738868e-09,8.940696716308594e-08,6.813889384140297e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:13  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,58
98,5.9604645e-08,4.1823283e-09,1.1920928955078125e-07,9.295979031810054e-09,1.1920928955078125e-07,1.0391145392700477e-08,0.0,0.0,1.1920928955078125e-07,9.295979031810054e-09,1.1920928955078125e-07,1.0391145392700477e-08,8.940696716308594e-08,7.259429518418974e-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:13  from:4 to:5 operator:19  from:5 to:6 operator:19  ,59
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  ,67
109,0.0,0.0,4.76837158203125e-07,7.15221243875998e-08,4.76837158203125e-07,7.15221243875998e-08,0.0,0.0,4.76837158203125e-07,7.15221243875998e-08,4.76837158203125e-07,7.15221243875998e-08,3.178914388020833e-07,4.7681416258399863e-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 ,from:0 to:1 operator:4  from:1 to:2 operator:19  from:2 to:3 operator:19  from:3 to:4 operator:5  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:7 operator:19  ,68
